,kmeans_20,kmeans_30,dbscan_0.1,agglo_0.5,ORCA
2002-02,2.4567998113749803,2.369765538919444,2.2728165362464368,2.3616759578201867,2.1629606829786576
2002-03,2.4954430974770316,2.4078815709623944,2.317830796995987,2.3980791173861027,2.1829112407707956
2002-04,2.488570028360487,2.394013088231872,2.272610230588056,2.4027192390602394,2.172118942456371
2002-05,2.553164200891882,2.4643457952392573,2.340192069607982,2.46964193270781,2.2460963251156754
2002-06,2.576748751195889,2.4941769379604506,2.356170128285164,2.508182560379309,2.3093192290356215
2002-07,2.692758169959424,2.5947609117910093,2.4923643550354813,2.6313228472847414,2.441421590813088
2002-08,2.7708879191693363,2.644323346492284,2.577163944346607,2.6762246470341653,2.514930317280209
2002-09,2.8286130353408114,2.707394639974743,2.6674011307106262,2.726212125941256,2.6011070447676223
2002-10,2.867748156242129,2.75887370543567,2.77307328880565,2.7782147044330006,2.6735464428546143
2002-11,2.945240774091842,2.86840496901459,2.9618006031160458,2.8717996025905377,2.7379835991723054
2002-12,3.069283250538601,2.976128445089785,3.10955939332195,2.978256642423363,2.8720002106304596
2003-01,3.1123291107401303,3.0007950736357367,3.1887523396665083,3.038274523908567,2.93390893177235
2003-02,3.199717783565584,3.068929154281363,3.2358840107118008,3.1290707866096508,2.986176844852202
2003-03,3.2169114596880513,3.083227650702555,3.2623921309534563,3.1440081842670557,2.989690991468534
2003-04,3.2198648814113606,3.083315168730903,3.287566528080901,3.1544708104334833,2.9882007538710234
2003-05,3.2829790409276307,3.1166046306108983,3.3331117204013574,3.156447411430927,2.9860253158932037
2003-06,3.2848083956652614,3.1066767841350402,3.36792723630448,3.1548319886400438,2.972173004556897
2003-07,3.306462562980171,3.1079266797535663,3.3828520671983715,3.158109014166023,3.0641837625772346
2003-08,3.36041257303392,3.1516925393865596,3.39107726441739,3.2071331122155478,3.100403259936843
2003-09,3.394968631165857,3.187936081166417,3.4326787544579673,3.2499473342982697,3.1176400195370304
2003-10,3.397349817882103,3.2001012336686467,3.419487804624763,3.268857896443975,3.1083376129829943
2003-11,3.433739618677416,3.2493034845855395,3.428008261297864,3.3158528425144778,3.1016531706526056
2003-12,3.505149268342505,3.314192372630484,3.482589873037538,3.3761290849237295,3.109952019440753
2004-01,3.5609765067443258,3.35232092637448,3.5168939551262643,3.401294048467509,3.107778254173688
2004-02,3.5387643086285148,3.3511071916889987,3.5114607246566254,3.396057601281213,3.119634678950903
2004-03,3.5431338673602997,3.355168012845867,3.539984423552686,3.402990924350729,3.1484358985301624
2004-04,3.552484080253782,3.381560520388945,3.544268273721529,3.441459860564744,3.195775292583202
2004-05,3.589753505658936,3.4167110898073703,3.548688403770283,3.4600594861632983,3.2231377550245432
2004-06,3.5996637078593845,3.4242305323210815,3.542671142076907,3.4822652615053036,3.210272819827805
2004-07,3.668172432452214,3.4927633849764583,3.5939230970281573,3.5401052633874905,3.2804917386691295
2004-08,3.719018621106093,3.5486172832822,3.602547239555904,3.576400659893002,3.3289284232348635
2004-09,3.7610548201469785,3.563787535713723,3.610884804705931,3.601818846589441,3.3462135689039365
2004-10,3.7555927611818913,3.5768398360520006,3.639272218815725,3.6404178624589716,3.3635940345101454
2004-11,3.7729823189716107,3.5878659254340306,3.682850365829098,3.665868834343637,3.371357441882001
2004-12,3.737868896000045,3.570787071986778,3.6604304287303733,3.6557522201675505,3.361846296756295
2005-01,3.7975821221327952,3.645963207878526,3.723139007103832,3.7334669954775106,3.4153842623028035
2005-02,3.8020680384619845,3.724990970854131,3.7725422888769775,3.7891593339372585,3.455445952031748
2005-03,3.831261781328951,3.741615170658799,3.790308007110566,3.797827296784142,3.470799217079898
2005-04,3.8867069760269057,3.793560492295592,3.828043994718046,3.8438520670376004,3.531109061985401
2005-05,3.92339353930305,3.8241136446268746,3.8342358363179287,3.876908279567214,3.538206225468142
2005-06,3.935172492938676,3.820363011128848,3.8550300435596436,3.8896303524693057,3.5540035244400188
2005-07,3.9301952264702757,3.8198282748437027,3.8435242897489132,3.881906200650609,3.5551025141928885
2005-08,3.951115503645358,3.827279776071702,3.8541928968502392,3.8559998391399235,3.58138493416035
2005-09,3.9414753383886243,3.810638721759743,3.8541320809188773,3.8226873176703178,3.590400399513196
2005-10,3.9949871262387404,3.8620807450400036,3.880261054016176,3.8894570170664653,3.6380214327203872
2005-11,4.013597477805774,3.893243378030102,3.9061095657127134,3.901884298057693,3.6634532557499386
2005-12,4.044819661182416,3.910088503688431,3.9303044375152307,3.9331466680230687,3.6838014751787047
2006-01,4.071356945584707,3.924156083457814,3.9305426085562,3.9710863869852,3.6774840310623875
2006-02,4.082979848087387,3.959107584833553,3.9454506643109926,4.006329241601243,3.6837238005119177
2006-03,4.0370382716798465,3.931148558306674,3.938518589238187,3.9867531389176194,3.677069435689786
2006-04,4.057921929677421,3.966308127891017,3.983958303715006,4.035220129708057,3.7251650798532943
2006-05,4.109651885352451,4.020515401837392,4.0198477155494,4.100105208062316,3.753252060089766
2006-06,4.137251380810652,4.051174583977853,4.037255728025613,4.132724347905986,3.7675405801022577
2006-07,4.114714773455957,4.056581490571366,4.032510185463305,4.133208507638532,3.7662707600304786
2006-08,4.166716408072496,4.116843862466353,4.050489846020584,4.194748105007155,3.7948069188448557
2006-09,4.178572147937096,4.1289789995330395,4.050081670804208,4.202511266189612,3.8033398522517734
2006-10,4.2026729294162815,4.1543611893122705,4.0573655730987745,4.241810528381554,3.813728093064584
2006-11,4.216815487846385,4.169788850343477,4.080549883086735,4.255400659498469,3.835650935727105
2006-12,4.2361621873726385,4.192356894658098,4.048349821554652,4.287949471014348,3.850649078102913
2007-01,4.258367584513235,4.201079469936167,4.0605188617707135,4.28426492393152,3.8513515691422358
2007-02,4.278844399400949,4.223919904943552,4.077069982185617,4.323763342325113,3.879849992169774
2007-03,4.3240437035483925,4.272333040036544,4.097100689842346,4.365182343773454,3.894322187184023
2007-04,4.300867776090932,4.270622052517363,4.088660279310581,4.361555719800589,3.8839759417265776
2007-05,4.312758615373078,4.289639816808351,4.079189360356434,4.36192282938745,3.864018963130325
2007-06,4.336515742952877,4.308953259644898,4.103181057088137,4.3665187271942845,3.9094402199982445
2007-07,4.3453740451579606,4.344930487267356,4.125998678220612,4.401161477477111,3.949549739401674
2007-08,4.394937147184125,4.39277664301158,4.1389544636053905,4.4517535935616115,3.98481934516207
2007-09,4.38872294516633,4.391247630087619,4.122219339624648,4.430685081409816,3.981031070940773
2007-10,4.42999794908461,4.430309126000062,4.141585207480798,4.465962519512303,4.01468553017118
2007-11,4.482842809212455,4.50035609978004,4.405891878181216,4.531040699109611,4.065940776189933
2007-12,4.515592231091864,4.536145659073181,4.422035437482125,4.554917146570525,4.084294519595751
2008-01,4.562159342554902,4.570122889610732,4.512674142311715,4.59808081005917,4.108435548553302
2008-02,4.601230666072487,4.58538369899791,4.5463710783226645,4.610710629420229,4.132324722373505
2008-03,4.630466715688066,4.602636391543438,4.577602298150578,4.6568541613568435,4.15908046356382
2008-04,4.663821346694098,4.649320921826252,4.572992983907258,4.658831843327311,4.181910757430507
2008-05,4.683454389836331,4.6922100288877395,4.592713708220843,4.700820805330849,4.2172093953402925
2008-06,4.714542362448112,4.744526310474792,4.638325422974262,4.767471080224288,4.262926778668599
2008-07,4.820031775172672,4.82256713422025,4.72294383050058,4.849416988707017,4.325074193438945
2008-08,4.859724505016525,4.84108157473642,4.7883093005597575,4.919628924904919,4.358182969947285
2008-09,4.840914230917521,4.881367419756294,4.830726225714994,4.929970734579148,4.387847115977332
2008-10,5.042806127094402,5.073319819898128,5.075947387888729,5.163976970817893,4.629472717713101
2008-11,5.13415906643974,5.167004895015447,5.187391331767434,5.281678616121115,4.741890555955208
2008-12,5.224889373462763,5.261150393468074,5.341688594057914,5.401136351386848,4.834435693506865
2009-01,5.273384637729801,5.313030247117514,5.4112783023895075,5.440832595373332,4.875374501416119
2009-02,5.442946382843932,5.479729334252961,5.5572563691252945,5.625742532118427,5.112581904626322
2009-03,5.472359482954471,5.524267360968733,5.590666778412801,5.656934317726824,5.17149887978639
2009-04,5.480075529579747,5.524077520314583,5.701738001532805,5.6834334087755565,5.179085042750942
2009-05,5.493802833412409,5.490649271427279,5.749386604457069,5.6889158535658835,5.222700580795128
2009-06,5.552072618567279,5.568302535514334,5.852309115650903,5.739441257417465,5.31400743228906
2009-07,5.587302887656739,5.59173184973687,5.880813723952788,5.791319015077195,5.335517234267394
2009-08,5.546595070379678,5.548667370866648,5.99045219670733,5.811640654407902,5.327113421346441
2009-09,5.564671050892526,5.568825781173995,6.005602856315264,5.83508928465113,5.341239452842889
2009-10,5.6054665189572805,5.627426461401641,6.076265376043963,5.901687574461806,5.421874755443724
